Time,Acel. X,Acel. Y,Acel. Z,Rot. X,Rot. Y,Rot. Z
1324,5.79,2.43,-11.38,-1.75,0.81,1.30
1359,6.61,3.20,-13.34,-1.69,0.82,1.29
1394,6.47,3.57,-12.50,-1.59,0.78,1.25
1428,6.31,3.92,-12.43,-1.37,0.74,1.15
1463,6.61,4.18,-10.69,-1.32,0.69,1.03
1497,6.20,4.30,-10.32,-1.59,0.65,0.86
1532,6.23,4.54,-9.47,-1.67,0.71,0.75
1567,2.44,5.31,-7.01,-2.09,0.92,0.56
1601,5.92,4.70,-10.42,-1.41,0.92,0.48
1636,6.51,5.71,-10.98,-2.05,0.88,0.19
1670,4.79,3.86,-7.94,-1.62,0.97,0.18
1705,-10.71,10.29,-4.54,-1.92,1.29,-0.46
1759,-3.16,5.33,-11.88,-2.88,1.71,-3.19
1794,0.08,2.09,-13.20,-2.50,2.32,-3.49
1829,6.35,7.56,-17.88,-1.98,2.91,-3.10
1863,2.93,-0.62,-18.90,-1.49,2.15,-2.72
1898,7.22,-1.47,-20.37,-0.95,1.89,-2.49
1933,7.76,-0.64,-18.46,-0.70,1.40,-2.44
1968,7.43,-0.04,-18.76,-0.29,0.97,-2.19
2003,7.35,-2.66,-15.72,-0.25,0.70,-1.82
2038,6.25,-3.30,-15.82,-0.04,0.45,-1.65
2072,5.77,-0.97,-14.29,0.36,0.49,-1.45
2107,5.46,-0.32,-13.31,0.79,0.44,-1.30
2142,4.88,-0.77,-12.91,1.50,0.53,-1.25
2177,4.53,-1.73,-13.48,1.91,0.58,-1.41
2217,6.73,-3.07,-12.44,2.07,0.49,-1.34
2252,6.03,-2.28,-12.29,2.02,0.51,-1.25
2287,-4.54,-7.71,-10.86,1.63,0.79,-1.31
2321,-1.71,-10.89,-9.18,0.43,1.35,-3.15
2356,2.92,-5.66,-15.40,0.48,1.32,-5.55
2391,7.05,-6.61,-14.22,1.18,0.72,-5.26
2426,6.77,-7.57,-13.01,0.74,0.24,-3.91
2461,0.92,-9.76,-8.68,1.54,-0.19,-2.84
2496,2.45,-7.20,-9.80,0.78,-0.52,-1.95
2530,3.77,-6.58,-9.60,0.51,-0.50,-1.61
2565,2.12,-7.64,-5.74,0.90,-0.66,-0.92
2600,-1.91,-5.00,-4.88,0.53,-0.54,-0.69
2635,0.15,-7.11,-3.40,0.47,-0.49,-0.95
2687,0.01,-3.49,-1.50,0.71,-0.33,-0.18
2721,1.13,-5.97,-3.89,0.43,-0.06,0.12
2756,0.75,-5.16,-5.73,0.38,0.17,0.45
2791,0.15,-5.13,-7.83,0.39,0.30,0.70
2826,0.11,-4.70,-8.92,0.53,0.41,0.92
2860,-35.84,14.24,-21.57,2.34,0.18,1.08
2895,-78.45,-63.81,-72.83,8.73,2.35,-4.45
2930,-32.86,-47.45,2.03,8.22,-2.60,-5.32
2965,-0.96,-8.79,2.60,-1.82,-3.30,-1.38
3000,-6.05,-11.54,13.63,-4.32,-2.31,-2.59
3034,4.05,-29.66,-11.52,-5.01,-1.38,-1.17
3069,-1.64,-22.00,-6.18,1.99,-1.68,0.51
3109,-0.13,-12.18,5.33,6.82,-1.48,0.87
3144,-2.52,-11.60,-1.09,6.66,-1.39,0.53
3179,0.33,-4.12,-5.62,-0.74,-1.40,-0.09
3227,0.67,1.11,-0.08,1.18,-1.31,0.51
3261,-2.44,-3.92,-0.99,0.28,-1.19,0.85
3296,-2.25,-2.31,-1.46,-0.49,-1.00,1.25
3331,-1.53,-5.48,-1.11,-0.22,-0.87,1.96
3366,-4.87,-3.92,-2.48,-0.62,-0.77,2.13
3401,-22.68,-9.36,1.24,-0.20,1.14,1.12
3435,-6.81,-2.42,-2.77,-0.62,0.37,0.42
3470,-2.19,-2.16,2.26,-0.61,0.13,0.18
3505,-10.47,-1.23,-6.18,-0.57,0.73,-0.29
3540,-7.30,-0.52,0.36,-0.48,0.95,-0.25
3580,-8.77,-3.89,-7.30,-0.58,1.49,-0.59
3614,-5.59,-3.05,-3.58,-0.47,1.81,-0.88
3649,-5.99,-1.98,-4.11,-0.47,2.10,-1.05
3684,-3.67,-3.53,-5.89,-0.60,2.51,-0.91
3719,-3.07,-4.69,-5.49,-0.73,2.74,-0.52
3754,-2.40,-4.26,-9.29,-0.47,3.20,-0.55
3788,-6.09,-15.02,-23.58,-1.11,2.75,-0.08
3823,-3.36,-4.74,-8.48,-1.25,1.71,0.48
3858,-0.17,1.86,-6.57,-1.07,1.24,0.27
3893,0.35,0.31,-2.73,-1.25,0.87,0.35
3927,1.59,-3.16,-15.18,-1.61,0.69,0.30
3962,-0.98,-2.85,-9.16,-1.57,0.64,0.32
3997,-3.72,1.45,-13.53,-1.35,0.60,0.12
