Time,Acel. X,Acel. Y,Acel. Z,Rot. X,Rot. Y,Rot. Z
1324,0.68,-0.63,-9.11,0.02,0.03,-0.13
1359,0.60,-2.07,-7.99,-0.00,0.03,0.01
1394,-0.27,0.47,-10.25,-0.43,-0.09,0.17
1429,-0.79,0.98,-9.96,0.10,0.07,0.44
1464,-0.40,-0.71,-13.62,0.05,0.17,0.69
1498,0.12,-0.45,-10.22,-0.15,-0.07,0.89
1533,0.37,-0.30,-13.80,0.09,-0.08,0.86
1568,-0.51,-1.44,-10.96,-0.30,0.06,0.85
1603,0.26,1.50,-14.06,0.57,0.13,0.89
1638,0.56,3.44,-9.28,-0.17,-0.12,0.79
1672,-0.28,0.14,-9.14,0.45,-0.10,0.62
1707,-0.30,-1.71,-11.93,0.09,0.06,0.21
1747,-0.12,-2.61,-11.32,0.02,0.07,-0.19
1782,0.54,-1.79,-7.99,-0.26,-0.10,-0.32
1817,0.23,-0.78,-10.62,0.19,-0.24,-0.41
1852,-0.03,-1.24,-8.46,-0.10,-0.05,-0.49
1887,0.36,-1.52,-9.65,0.37,0.09,-0.43
1922,0.84,-0.78,-9.50,-0.14,0.02,-0.42
1957,0.05,-0.40,-13.51,0.02,-0.12,-0.34
1991,-0.33,-0.87,-11.99,0.25,-0.11,-0.32
2026,-0.09,-0.27,-11.98,-0.13,-0.00,-0.32
2061,0.32,-1.44,-10.90,0.22,0.02,-0.27
2096,0.90,-1.08,-9.08,-0.06,-0.06,-0.24
2131,0.45,-1.42,-10.52,0.04,-0.13,-0.21
2180,0.49,-1.59,-9.86,0.20,-0.12,-0.28
2220,0.31,-0.83,-11.18,0.07,-0.03,-0.23
2254,0.46,-1.64,-10.86,0.10,-0.01,-0.22
2289,0.45,-0.38,-8.83,-0.04,-0.09,-0.21
2324,0.38,-1.48,-10.29,-0.11,-0.12,-0.17
2359,0.36,1.36,-10.15,0.19,-0.09,-0.25
2394,0.48,-2.16,-10.09,0.17,-0.11,-0.25
2429,0.29,-0.55,-10.53,-0.02,-0.02,-0.22
2464,0.32,-1.24,-10.13,0.14,-0.01,-0.24
2499,0.66,-2.00,-8.58,-0.01,-0.05,-0.20
2534,0.51,-0.06,-9.02,-0.11,-0.08,-0.20
2569,0.61,-2.24,-7.84,0.14,-0.02,-0.20
2604,0.38,-1.36,-10.13,-0.04,-0.08,-0.20
2644,0.04,-1.68,-10.10,0.11,-0.04,-0.10
2692,-0.03,0.34,-10.85,0.07,0.02,-0.03
2727,0.18,0.11,-11.07,-0.02,-0.01,0.03
2762,0.27,-0.60,-9.68,0.17,-0.00,0.11
2797,0.49,-0.96,-9.13,-0.11,-0.04,0.20
2832,0.34,-0.12,-10.41,-0.02,-0.02,0.25
2867,0.34,-0.56,-10.48,0.15,-0.08,0.28
2902,0.22,-1.44,-9.20,0.07,-0.07,0.32
2937,0.25,-0.62,-10.20,0.01,-0.01,0.41
2972,0.30,-0.56,-10.61,0.07,-0.04,0.46
3007,0.17,-1.20,-9.78,0.15,-0.03,0.46
3042,0.48,-0.09,-10.43,0.05,-0.02,0.44
3077,0.08,-0.44,-10.07,0.12,-0.01,0.41
3117,0.45,-1.90,-9.28,0.02,-0.02,0.39
3152,0.44,-0.37,-10.54,-0.04,-0.01,0.33
3187,0.53,-0.05,-10.48,-0.00,-0.07,0.27
3222,0.14,0.49,-11.25,-0.13,-0.09,0.24
3257,0.21,-0.61,-10.17,0.08,-0.10,0.16
3292,0.21,-0.33,-9.82,0.05,-0.08,0.15
3326,0.25,-0.65,-10.18,-0.01,-0.08,0.17
3361,0.33,-0.32,-9.92,0.05,-0.05,0.17
3396,0.37,-0.90,-10.02,0.01,-0.05,0.18
3431,0.35,-0.66,-10.01,0.05,-0.05,0.21
3466,0.27,-0.63,-10.46,0.05,-0.04,0.24
3501,0.17,-0.45,-10.54,0.08,-0.06,0.30
3536,0.05,-0.64,-10.35,0.19,-0.07,0.35
3576,0.20,-1.27,-10.91,0.14,-0.05,0.31
3625,0.25,-1.52,-10.61,0.14,-0.02,0.17
3660,0.23,-0.90,-10.11,-0.01,-0.04,0.00
3695,0.26,-0.88,-10.04,0.01,-0.07,-0.16
3730,0.39,-0.95,-10.33,-0.02,-0.03,-0.24
3765,0.37,-0.80,-10.58,-0.01,-0.08,-0.25
3800,0.49,-0.19,-10.18,0.01,-0.04,-0.21
3835,0.60,-0.56,-10.37,0.01,-0.05,-0.11
3870,0.71,-0.12,-10.21,0.07,-0.05,0.03
3905,0.85,-0.68,-10.30,0.13,-0.04,0.13
3940,0.71,-0.72,-10.13,0.07,-0.05,0.15
3975,0.69,-0.66,-10.27,0.08,-0.04,0.11
4015,0.80,-0.94,-10.19,0.06,-0.05,0.04
