Time,Acel. X,Acel. Y,Acel. Z,Rot. X,Rot. Y,Rot. Z
174857,0.81,-0.72,-10.25,0.06,-0.05,-0.00
174892,0.81,-0.71,-10.23,0.06,-0.05,-0.00
174927,0.80,-0.72,-10.23,0.06,-0.05,-0.00
174962,0.81,-0.71,-10.22,0.06,-0.05,-0.00
174997,0.80,-0.70,-10.25,0.06,-0.05,-0.00
175032,0.81,-0.71,-10.22,0.06,-0.05,-0.00
175067,0.81,-0.70,-10.21,0.06,-0.05,-0.00
175102,0.82,-0.70,-10.26,0.06,-0.05,-0.00
175137,0.80,-0.70,-10.22,0.06,-0.05,-0.00
175172,0.80,-0.71,-10.24,0.06,-0.05,-0.00
175207,0.79,-0.71,-10.25,0.06,-0.05,-0.01
175242,0.79,-0.71,-10.24,0.06,-0.05,-0.00
175281,0.79,-0.71,-10.23,0.06,-0.05,-0.00
175316,0.79,-0.70,-10.26,0.06,-0.05,-0.00
175351,0.79,-0.70,-10.26,0.06,-0.05,-0.00
175386,0.80,-0.70,-10.28,0.06,-0.05,-0.00
175421,0.78,-0.71,-10.27,0.06,-0.05,-0.00
175456,0.81,-0.69,-10.25,0.06,-0.05,-0.00
175491,0.80,-0.70,-10.25,0.06,-0.05,-0.00
175526,0.79,-0.69,-10.26,0.06,-0.05,-0.01
175561,0.81,-0.68,-10.24,0.06,-0.05,-0.00
175596,0.81,-0.70,-10.28,0.06,-0.05,-0.00
175631,0.79,-0.69,-10.22,0.06,-0.05,-0.00
175666,0.80,-0.69,-10.24,0.06,-0.05,-0.00
175719,0.78,-0.71,-10.28,0.06,-0.05,-0.00
175754,0.80,-0.71,-10.25,0.06,-0.05,-0.00
175789,0.79,-0.70,-10.24,0.06,-0.05,-0.00
175836,0.80,-0.70,-10.24,0.06,-0.05,-0.00
175871,0.82,-0.71,-10.25,0.06,-0.05,-0.00
175906,0.79,-0.70,-10.26,0.06,-0.05,-0.00
175941,0.79,-0.68,-10.27,0.06,-0.05,-0.00
175976,0.79,-0.72,-10.28,0.06,-0.05,-0.00
